# Bead 0
0 0 0 0
1 5 5 5
2 10 10 10
3 15 15 15
4 20 20 20
5 25 25 25
6 30 30 30
7 35 35 35
8 40 40 40
9 45 45 45

# Bead 10
0 -2.86931 -3.75848 -5.22284
1 3.86054 11.8495 -6.99539
2 18.9143 -3.96986 -0.0735622
3 13.6566 22.6174 15.6602
4 9.90061 19.4297 26.3972
5 40.5897 23.2899 27.1123
6 30.69 29.1726 30.0417
7 38.5432 23.7034 44.6937
8 36.8205 48.8421 40.3102
9 46.5141 67 46.5191

# Bead 20
0 -3.78191 -1.97185 -13.0167
1 7.66081 3.02749 -14.4464
2 14.6306 -8.53662 15.2937
3 6.82201 17.8997 16.9288
4 14.0435 16.9523 17.8758
5 27.4378 24.6967 30.2371
6 19.6268 13.4165 26.9254
7 37.8284 20.7645 48.2417
8 37.4819 55.7249 55.0411
9 44.9496 72.3895 41.8169

# Bead 30
0 -9.00134 -1.06772 -7.92407
1 7.96719 12.8839 -19.1354
2 9.27077 -6.31322 15.8419
3 -1.0878 5.37607 24.6016
4 1.46799 14.3231 12.5185
5 25.6335 35.6001 37.1055
6 36.142 20.7984 17.5929
7 25.8744 11.5585 55.9381
8 36.3828 52.463 62.4516
9 43.9559 81.6116 43.5419

# Bead 40
0 -10.1508 10.915 -13.1355
1 7.00687 -6.82104 -23.1311
2 11.533 -2.05989 8.96647
3 -8.50179 10.2945 10.5154
4 8.66276 11.8689 10.305
5 21.5691 43.0168 42.8717
6 40.8424 27.5483 13.5763
7 15.9777 14.6328 60.5808
8 34.1245 47.4679 60.94
9 52.996 83.3196 49.1843

# Bead 50
0 -11.7604 13.029 -13.4971
1 12.6257 -3.47411 -13.4509
2 7.01717 -5.61162 7.30956
3 -9.79998 6.77251 1.77415
4 1.77063 20.6467 6.68519
5 18.0645 37.8119 33.1665
6 53.4391 21.1731 27.263
7 34.6169 13.7035 57.4731
8 32.7353 36.3871 62.5685
9 62.934 92.2478 55.8033

# Bead 60
0 -5.09115 14.745 -9.99844
1 6.58175 14.1674 -11.6948
2 -9.84755 -5.89879 18.5736
3 12.3298 20.9919 -6.14649
4 -3.55709 16.292 2.72089
5 22.186 41.6167 42.2181
6 69.715 17.7734 32.6241
7 39.6208 18.2067 48.5384
8 28.7063 29.8104 67.2071
9 70.5703 99.3437 49.9079

# Bead 70
0 -7.12258 29.4818 -6.66599
1 -1.99359 5.54001 -9.64338
2 -12.1207 -12.8399 16.5402
3 16.6215 17.3824 -11.3032
4 6.54701 15.7786 14.6727
5 28.3208 34.7139 52.1346
6 74.7364 18.2906 33.1827
7 43.106 21.1711 54.0551
8 26.823 26.0333 76.2391
9 66.7004 111.23 32.0966

# Bead 80
0 -14.287 23.507 -9.49885
1 -3.22943 8.20134 -9.13946
2 0.24659 -18.6834 9.43292
3 23.4971 7.10271 -6.63908
4 12.5809 23.093 14.9922
5 32.3393 35.0799 57.553
6 66.9166 18.1357 41.3891
7 35.5206 17.1554 49.1143
8 20.0558 32.6459 77.5973
9 63.086 111.125 43.3586

# Bead 90
0 -19.2318 24.9365 -1.67497
1 -8.85874 10.0814 -15.5414
2 13.2956 -6.50546 18.2445
3 21.1494 12.1523 -13.6892
4 9.50422 12.8058 2.84984
5 35.073 44.8243 47.8267
6 61.3314 10.2307 36.5184
7 33.7463 4.41911 43.1447
8 20.9437 35.295 76.466
9 63.756 104.426 23.7937

# Bead 100
0 -19.4734 37.4277 -1.49257
1 -11.099 11.4022 -12.7887
2 28.2647 1.4894 9.18685
3 23.9369 14.8981 -8.47737
4 7.45726 22.955 1.39655
5 32.954 32.06 50.2106
6 73.2873 6.34288 42.9683
7 27.2232 3.82277 38.2621
8 14.3255 23.7803 80.7805
9 59.5391 99.2014 24.4494

